,,,,Bryozoa,Arthropoda,Mollusca,Mollusca,Chordata,Chordata,Chordata,Chordata,Chordata,Chordata,Chordata,Chordata,Chordata,Arthropoda,Arthropoda,Mollusca,Chordata,Chordata,Chordata,Bryozoa,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Chordata,Arthropoda,NA,Rhodophyta,Chordata,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Mollusca,Arthropoda,Bryozoa,Chordata,Rhodophyta,Chordata,Chordata,NA,NA,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Rhodophyta,Arthropoda,Annelida,Arthropoda,Platyhelminthes,Platyhelminthes,Arthropoda,Mollusca,Rhodophyta,Arthropoda,Arthropoda,Arthropoda,Chordata,Chordata,Chordata,Chordata,Chordata,Mollusca,Nematoda,Arthropoda,Ochrophyta,Platyhelminthes,Platyhelminthes,Mollusca,Platyhelminthes,Rhodophyta,Rhodophyta,Rhodophyta,Arthropoda,Arthropoda,Rhodophyta,Rhodophyta,Bryozoa,Arthropoda,Annelida,NA,Annelida,Annelida,Annelida,Annelida,Platyhelminthes,Nemertea,Bryozoa,Chlorophyta,Chlorophyta,Bryozoa
Group,Tile Depth,Tile Material,Tile orientation,Alcyonidium_gelatinosum,Amphipoda_sp,Anomia_ephippium,Anomia_sp1,Aplidium_elegans,Aplidium_sp,Ascidia_conchilega,Ascidia_mentula,Ascidia_virginea,Ascidiacea,Ascidian_sp1,Ascidiella_aspersa,Ascidiella_scabra,Austrominius_modestus,Balanus_crenatus,Barleeia_unifasciata,Botrylloides_leachii,Botrylloides_violaceus,Botryllus_schlosseri,Bryozoa,Caprella_acanthifera,Caprella_acanthogaster,Caprella_equilibra,Caprella_mutica,Caprella_sp,Chthamalus_montagui,Ciona_intestinalis,Cirripedia,Colomstix_pulsila,Corallina_officinalis,Corella_eumyota,Corophidae_sp,Corophium_bonnelli,Corophium_multisetosum,Corophium_sp,Corophium_volutator,Crassicorophium_crassicorne,Crepidula_fornicata,Crustacea_sp1,Cryptosula_pallasiana,Didemnum_vexillum,Dilsea_carnosa,Diplosoma_sp,Diplosoma_spongiforme,egg_1,egg_2,Ericthonius_sp,Gammaridae_sp,Gammarus_locusta,Gammarus_zaddachi,Haustoriidae,Hypoglossum_hypoglossoides,Iphimedia_minuta,Janua_heterostropha,Jassa_falcata,Leptoplana_tremellaris,Leptoplanidea_sp1,Leucothoe_incisa,Littorina_fabalis,Lomentaria_clavellosa,Melita_palmata,Microdeutopus_gryllotalpa,Microprotopus_maculatus,Molgula_manhattensis,Molgula_oculata,Molgula_socialis,Molgula_sp,Molgula_tubifera,Mytilus_edulis,Nematoda_sp,Nototropis_swammerdamei,Phaeophyceae_encrusing,Plagiostomum_vittatum,Platyhelminthes_sp,Pododesmus_patelliformis,Polycladida_sp,Polysiphonia_elongata,Polysiphonia_sp,Porphyra_sp,Pseudoparatanais_batei,Pseudoprotella_phasma,Rhodophyta_sp1,Rhodymenia_delicatula,Scrupocellaria_sp,Semibalanus_balanoides,Serpulidae_sp,Sp1,Spirobranchus lamarcki,Spirobranchus_triqueter,Spirorbidae_sp,Spirorbis_spirorbis,Stylostomum_ellipse,Tetrastemma,Tricellaria_inopinata,Ulva_lactuca,Ulva_sp,Watersipora_subtorquata
1,Deep,Plastic,Vertical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0
2,Shallow,Plastic,Horizontal,0,0,0,1,0,0,5,0,0,0,20,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,5,0,0,0
3,Shallow,Slate,Horizontal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,35,0,5,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,80,0,0,0
4,Deep,Slate,Horizontal,0,0,0,1,0,0,10,0,0,0,0,0,30,5,0,0,0,0,20,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10,0,0,40,0,1,1
5,Deep,Plastic,Horizontal,0,5,0,1,0,0,20,0,0,0,0,0,0,5,0,1,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,20,0,0,5
6,Deep,Plastic,Horizontal,0,0,0,1,0,0,0,0,0,0,10,5,0,5,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0
7,Shallow,Plastic,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
8,Shallow,Slate,Horizontal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,40,0,0,0
9,Shallow,Slate,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,40,0,0,0
10,Deep,Slate,Horizontal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,0,0,0,1,0,0,0,10,0,0,0
11,Deep,Plastic,Vertical,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,20,0,0,1
12,Deep,Slate,Horizontal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,0,0
13,Deep,Slate,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,20,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,70,0,0,0
14,Deep,Slate,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,40,0,0,0
15,Shallow,Slate,Horizontal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
16,Shallow,Plastic,Horizontal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,20,0,0,0
17,Shallow,Plastic,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,10,0,0,0
18,Shallow,Plastic,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,4,0,0,0
19,Shallow,Slate,Horizontal,0,0,0,0,0,0,70,0,0,0,0,0,5,5,0,0,0,10,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,1
20,Shallow,Slate,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,50,0,0,0
21,Shallow,Plastic,Vertical,0,10,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,40,0,0,1
22,Deep,Plastic,Vertical,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
23,Shallow,Slate,Horizontal,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
24,Deep,Plastic,Horizontal,0,0,0,0,10,0,0,0,0,0,0,40,0,0,0,0,0,0,5,0,1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15,0,0,0
25,Deep,Plastic,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,5
26,Deep,Plastic,Horizontal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
